id,subid,attr_name,option_name
1,1,'Nationality','Singapore'
1,2,'Nationality','Indonesia'
1,3,'Nationality','Japan'
1,4,'Nationality','India'
2,1,'Gender','Male'
2,2,'Gender','Female'
2,3,'Gender','Other'
3,1,'Language','English'
3,2,'Language','Mandarin'
3,3,'Language','Japanese'
4,1,'Personality','Type_A'
4,2,'Personality','Type_B'
4,3,'Personality','Type_C'
4,4,'Personality','Type_D'
